id;training_time;accuracy;precision;f_1_score;active
1;2025-09-06T12:31:51;4110.9;11637.43;16472.23;true
2;2025-09-05T13:15:54;29426.55;14321.94;11757.03;true
3;2025-09-05T23:48:05;17678.38;4784.19;17304.38;false
4;2025-09-05T21:56:50;25728.77;4074.19;20096.66;false
5;2025-09-05T21:51:40;30795.71;12671.04;11503.4;true
6;2025-09-05T22:37:20;13293.13;30983.47;320.93;true
7;2025-09-06T00:04:51;15.97;31054.02;15166.44;true
8;2025-09-06T00:47:50;27099.93;21539.99;31016.18;false
9;2025-09-06T07:13:25;22096.5;20743.41;21831.08;false
10;2025-09-06T01:35:12;11110.01;9093.65;13705.2;false
