id;sender;message;timestamp;channel_name
1;BOT;mobility mid misjudge;2025-09-05T13:58:00;rewarding
2;USER;uh-huh phooey;2025-09-06T09:47:09;untrue oof
3;USER;inasmuch comb aboard;2025-09-06T10:31:55;upward assist considering
4;BOT;unsung;2025-09-06T07:26:47;via
5;USER;boo;2025-09-05T22:47:41;linear bah grave
6;USER;fatherly;2025-09-06T06:22:04;whereas
7;BOT;yuck motionless prestigious;2025-09-06T02:47:13;volleyball
8;BOT;than;2025-09-05T16:30:30;um
9;BOT;aha certainly;2025-09-05T13:32:01;archaeology till aboard
10;BOT;cop-out nor while;2025-09-05T21:57:40;peter yin onto
